qid,self_confidence,perceived_confidence,flipped
80.0,0.6222136553513593,4.332039780622816e-06,0.0
81.0,0.545667970802332,0.3309643543147924,1.0
81.0,0.545667970802332,0.12175498171299305,1.0
81.0,0.545667970802332,0.0015326693939449224,1.0
82.0,0.9766555316864329,0.022968735342371448,0.0
82.0,0.9766555316864329,0.00025515954057142576,0.0
82.0,0.9766555316864329,0.00012052883257870546,0.0
83.0,0.996581007353565,0.0024702778507905035,1.0
83.0,0.996581007353565,0.0009087644352870019,0.0
83.0,0.996581007353565,3.992832267251833e-05,0.0
84.0,0.7663059473090509,0.21955031668031613,0.0
84.0,0.7663059473090509,0.014035382172627944,0.0
84.0,0.7663059473090509,0.00010716151638430255,1.0
85.0,0.9859363206911979,0.014063626520379485,1.0
85.0,0.9859363206911979,1.0320186855051511e-08,0.0
85.0,0.9859363206911979,7.092953780596424e-09,1.0
86.0,0.9999998063873693,1.2751905914873347e-07,0.0
86.0,0.9999998063873693,3.850741922767617e-09,0.0
86.0,0.9999998063873693,8.592166619174109e-10,0.0
87.0,1.0,1.4166087866431961e-09,0.0
87.0,1.0,1.0815941557285693e-11,0.0
87.0,1.0,1.0815941557285693e-11,0.0
88.0,0.6841791188092936,0.19602059360857152,1.0
88.0,0.6841791188092936,0.0636385769543802,1.0
88.0,0.6841791188092936,0.05616084704713194,1.0
89.0,0.7918832289356903,0.1766930316912763,1.0
89.0,0.7918832289356903,0.018623310745816954,1.0
89.0,0.7918832289356903,0.012799601811192695,1.0
90.0,0.9947781515296097,0.005220115911859423,1.0
90.0,0.9947781515296097,1.2035492334555063e-06,1.0
90.0,0.9947781515296097,4.427610194259294e-07,1.0
91.0,0.9399046242924317,0.060086090130927874,0.0
91.0,0.9399046242924317,6.543905281936457e-06,0.0
91.0,0.9399046242924317,2.124494995940008e-06,0.0
92.0,0.9598460489485532,0.022573412917290925,1.0
92.0,0.9598460489485532,0.017580195848025153,1.0
92.0,0.9598460489485532,9.532409738419693e-08,1.0
93.0,0.4596209697643597,0.35795319250419405,1.0
93.0,0.4596209697643597,0.10255530670387064,1.0
93.0,0.4596209697643597,0.07987015316910255,1.0
94.0,0.980588166125174,0.010893349913922105,1.0
94.0,0.980588166125174,0.008483749443233355,1.0
94.0,0.980588166125174,3.467114491569151e-05,1.0
95.0,0.833925896848517,0.14491459595960737,1.0
95.0,0.833925896848517,0.011895315827959286,0.0
95.0,0.833925896848517,0.009264081281696368,1.0
96.0,1.0,2.9989608248573072e-09,0.0
96.0,1.0,2.646573638909117e-09,0.0
96.0,1.0,2.335593038799337e-09,0.0
97.0,0.7684489675005387,0.17146414118429076,1.0
97.0,0.7684489675005387,0.049125304795004515,1.0
